"piece","value","count"
Pawn,0,554853426
Pawn,1,522550770
Pawn,2,558253960
Pawn,3,503087370
Pawn,4,416121543
Pawn,5,291364239
Pawn,6,154010931
Pawn,7,58859571
Pawn,8,17598377
Pawn,9,4349457
Pawn,10,828706
Pawn,11,111218
Pawn,12,9870
Pawn,13,543
Pawn,14,18
Pawn,15,1
Knight,0,1724695845
Knight,1,16294849
Knight,2,34806815
Knight,3,87970434
Knight,4,137075927
Knight,5,162658732
Knight,6,245916998
Knight,7,222381601
Knight,8,211709049
Knight,9,47739227
Knight,10,50468772
Knight,11,47381427
Knight,12,39148484
Knight,13,27009537
Knight,14,16749706
Knight,15,6958115
Knight,16,3030364
Knight,17,756
Knight,18,784
Knight,19,624
Knight,20,683
Knight,21,397
Knight,22,492
Knight,23,189
Knight,24,193
Bishop,0,1461279058
Bishop,1,31461830
Bishop,2,51556832
Bishop,3,82637344
Bishop,4,121630908
Bishop,5,162773325
Bishop,6,171903771
Bishop,7,244462649
Bishop,8,164209913
Bishop,9,197123152
Bishop,10,94880710
Bishop,11,103194813
Bishop,12,49481032
Bishop,13,50098630
Bishop,14,30248890
Bishop,15,22263335
Bishop,16,16731092
Bishop,17,10321216
Bishop,18,7345827
Bishop,19,3610942
Bishop,20,2647587
Bishop,21,951112
Bishop,22,786628
Bishop,23,176056
Bishop,24,181003
Bishop,25,15817
Bishop,26,26236
Bishop,27,136
Bishop,28,52
Bishop,29,64
Bishop,30,14
Bishop,31,14
Bishop,32,5
Bishop,33,7
Rook,0,815040047
Rook,1,33597954
Rook,2,19067885
Rook,3,33840530
Rook,4,53417140
Rook,5,87948789
Rook,6,106886165
Rook,7,142072391
Rook,8,183684998
Rook,9,205744260
Rook,10,215096699
Rook,11,206682068
Rook,12,203423902
Rook,13,145355001
Rook,14,300528020
Rook,15,54992731
Rook,16,48873064
Rook,17,43583554
Rook,18,38072323
Rook,19,33201279
Rook,20,27695359
Rook,21,22922246
Rook,22,17941018
Rook,23,14095688
Rook,24,10443526
Rook,25,7392018
Rook,26,5242523
Rook,27,2395217
Rook,28,2714593
Rook,29,7410
Rook,30,6948
Rook,31,6548
Rook,32,6291
Rook,33,5333
Rook,34,4499
Rook,35,3595
Rook,36,2816
Rook,37,2046
Rook,38,1578
Rook,39,881
Rook,40,644
Rook,41,223
Rook,42,187
Rook,43,4
Rook,44,2
Rook,45,4
Rook,46,1
Rook,48,2
Queen,0,1873066604
Queen,1,21064284
Queen,2,14720046
Queen,3,16743363
Queen,4,23713872
Queen,5,35236274
Queen,6,49653086
Queen,7,65074116
Queen,8,78798197
Queen,9,89214802
Queen,10,95033077
Queen,11,96288071
Queen,12,92869239
Queen,13,85929576
Queen,14,78521022
Queen,15,70079762
Queen,16,61307111
Queen,17,52415680
Queen,18,44398908
Queen,19,37115386
Queen,20,29479396
Queen,21,28951676
Queen,22,14937424
Queen,23,12752632
Queen,24,6088164
Queen,25,4906883
Queen,26,1168841
Queen,27,1102218
Queen,28,94896
Queen,29,103070
Queen,30,110221
Queen,31,112601
Queen,32,116996
Queen,33,116734
Queen,34,113100
Queen,35,107832
Queen,36,95661
Queen,37,88542
Queen,38,74625
Queen,39,64633
Queen,40,51059
Queen,41,36945
Queen,42,28702
Queen,43,18779
Queen,44,14997
Queen,45,8001
Queen,46,6086
Queen,47,2551
Queen,48,1841
Queen,49,768
Queen,50,534
Queen,51,271
Queen,52,182
Queen,53,150
Queen,54,100
Queen,55,94
Queen,56,80
Queen,57,69
Queen,58,49
Queen,59,29
Queen,60,26
Queen,61,19
Queen,62,11
Queen,63,13
Queen,64,5
Queen,65,4
Queen,66,8
Queen,67,1
Queen,68,1
Queen,69,4
King,0,49344167
King,1,286608213
King,2,597218368
King,3,676614980
King,4,558517417
King,5,441154109
King,6,257238966
King,7,140157644
King,8,75146136
