epoch,rating,error
32,-824.6,143.4
16,-890.2,144.5
48,-924.4,144.8
64,-1021.0,145.7
80,-1089.9,144.9
96,-1147.3,143.8
112,-1174.2,144.8
128,-1198.1,146.2
144,-1217.7,144.9
160,-1246.1,147.5
1,-1263.5,143.5
176,-1270.4,144.6
192,-1278.9,142.9
208,-1280.1,143.7
224,-1298.4,144.3
240,-1315.8,144.0
256,-1320.1,143.1
304,-1324.7,145.0
288,-1325.1,145.6
272,-1329.9,144.5
336,-1341.5,144.4
320,-1342.8,144.2
368,-1345.7,145.5
496,-1346.9,146.4
464,-1348.6,145.3
416,-1355.8,145.6
480,-1361.6,145.7
432,-1362.6,145.0
400,-1363.9,142.4
384,-1363.9,144.1
512,-1365.7,145.8
448,-1367.5,143.5
352,-1367.7,145.2
